feature_set,year,block,ROC_AUC,PR_AUC,Brier,n_test,n_train,prevalence
AEF,2019,9,0.48533333333333334,0.025147033879847378,0.04752114415168762,230,10476,0.022
AEF,2020,0,0.3786231884057971,0.04213415785867389,0.059618402272462845,193,10698,0.047
AEF,2020,1,0.6016548463356974,0.23601065220998058,0.1269758939743042,165,10866,0.145
AEF,2020,2,0.2011173184357542,0.010114003228410008,0.06365402042865753,181,10770,0.011
AEF,2020,3,0.3423202614379085,0.14393483166254106,0.1888560652732849,178,10788,0.191
AEF,2020,4,0.41167375338229606,0.0729314536891979,0.06978821009397507,212,10584,0.061
AEF,2020,5,0.4568965517241379,0.13380149165309668,0.10290291905403137,258,10308,0.101
AEF,2020,6,0.424251497005988,0.10029122134769126,0.11044958978891373,187,10734,0.107
AEF,2020,7,0.3355820105820106,0.22520128024838637,0.2602471709251404,191,10710,0.293
AEF,2020,8,0.42282430213464695,0.03792863718813282,0.13293327391147614,181,10770,0.039
AEF,2020,9,0.40508177570093457,0.06131642506025944,0.11947949230670929,230,10476,0.07
AEF,2021,0,0.12280701754385961,0.011527416156869388,0.038781873881816864,193,10698,0.016
AEF,2021,1,0.6172839506172839,0.03038545653362493,0.029751809313893318,165,10866,0.018
AEF,2021,2,0.43819875776397527,0.10720739447458151,0.10336499661207199,181,10770,0.11
AEF,2021,3,0.5092592592592593,0.09124725189820639,0.08634047955274582,178,10788,0.09
AEF,2021,4,0.42309797482211275,0.14752539597247485,0.052345484495162964,212,10584,0.042
AEF,2021,5,0.4841588576528336,0.03760986465152856,0.04436657205224037,258,10308,0.035
AEF,2021,6,0.6259946949602122,0.16769816398085277,0.06810256093740463,187,10734,0.07
AEF,2021,7,0.6644187540141298,0.2184141816936447,0.08244697004556656,191,10710,0.094
AEF,2021,8,0.5187338501291989,0.05526903906500591,0.06155896186828613,181,10770,0.05
AEF,2021,9,0.44494047619047616,0.03362661455844606,0.0482851043343544,230,10476,0.026
AEF,2022,0,0.5464601769911505,0.4789117538918779,0.29679059982299805,193,10698,0.415
AEF,2022,1,0.3988526570048309,0.5029552418828602,0.4160696268081665,165,10866,0.582
AEF,2022,2,0.5797655453618756,0.702009907265443,0.38462933897972107,181,10770,0.602
AEF,2022,3,0.429511649335264,0.5898382267071022,0.460714191198349,178,10788,0.601
